ID	POEM_NUMBER	POEM_TITLE	STANZA	LINE_NUMBER	LINE_IN_SOURCE	LINE	RHYMEWORD	RHYME	RECONSTRUCTION	COMMENT	PROBLEMS
1	1	關睢	1.1	1	關關雎a[kiu]鳩	關關雎鳩	鳩	a	kiu		
2	1	關睢	1.1	2	在河之a[tjiu]洲。	在河之洲	洲	a	tjiu		
3	1	關睢	1.1	1	窈宨淑女	窈宨淑女					
4	1	關睢	1.1	2	君子好a[qiu]逑。（幽部）	君子好逑	逑	a	qiu	幽部	
5	1	關睢	1.2	1	參差荇菜	參差荇菜					
6	1	關睢	1.2	2	左右a[liu]流之。	左右流之	流	a	liu		
7	1	關睢	1.2	1	窈宨淑女	窈宨淑女					
8	1	關睢	1.2	2	寤寐a[giu]求之。（幽部）	寤寐求之	求	a	giu	幽部	
9	1	關睢	1.3	1	求之不b[tək]得	求之不得	得	b	tək		
10	1	關睢	1.3	2	寤寐思b[biuək]服。	寤寐思服	服	b	biuək		
11	1	關睢	1.3	1	悠哉悠哉	悠哉悠哉					
12	1	關睢	1.3	2	輾轉反b[tzhiək]側。（职部）	輾轉反側	側	b	tzhiək	职部	
13	1	關睢	1.4	1	參差荇菜	參差荇菜					
14	1	關睢	1.4	2	左右a[tsə]采之。	左右采之	采	a	tsə		
15	1	關睢	1.4	1	窈宨淑女	窈宨淑女					
16	1	關睢	1.4	2	琴瑟a[hiuə]友之。（之部）	琴瑟友之	友	a	hiuə	之部	
17	1	關睢	1.5	1	參差荇菜	參差荇菜					
18	1	關睢	1.5	2	左右b[mô]芼之。	左右芼之	芼	b	mô		
19	1	關睢	1.5	1	窈宨淑女	窈宨淑女					
20	1	關睢	1.5	2	 鍾鼓b[lôk]樂之。（宵觉通韵）	鍾鼓樂之	樂	b	lôk	宵觉通韵	
21	2	葛覃	2.1	1	葛之覃兮	葛之覃兮					
22	2	葛覃	2.1	2	施于中A[kok]谷。	施于中谷	谷	A	kok		
23	2	葛覃	2.1	1	維葉萋b[tsyei]萋	維葉萋萋	萋	b	tsyei		
24	2	葛覃	2.1	2	黃鳥于b[piuəi]飛。	黃鳥于飛	飛	b	piuəi		
25	2	葛覃	2.1	1	集于灌A[mok]木	集于灌木	木	A	mok		
26	2	葛覃	2.1	2	其鳴喈b[kei]喈。（脂微合韵）	其鳴喈喈	喈	b	kei	脂微合韵	
27	2	葛覃	2.2	1	葛之覃兮	葛之覃兮					
28	2	葛覃	2.2	2	施于中A[kok]谷。（屋部）	施于中谷	谷	A	kok	屋部	
29	2	葛覃	2.2	1	維葉莫b[mak]莫	維葉莫莫	莫	b	mak		
30	2	葛覃	2.2	2	是刈是b[huak]濩。	是刈是濩	濩	b	huak		
31	2	葛覃	2.2	1	為絺為b[khyak]綌	為絺為綌	綌	b	khyak		
32	2	葛覃	2.2	2	服之無b[jyak]斁。（铎部）	服之無斁	斁	b	jyak	铎部	
33	2	葛覃	2.3	1	言告師氏	言告師氏					
34	2	葛覃	2.3	2	言告言a[kiuəi]歸。	言告言歸	歸	a	kiuəi		
35	2	葛覃	2.3	1	薄污我私	薄污我私					
36	2	葛覃	2.3	2	薄澣我a[iəi]衣。（微部）	薄澣我衣	衣	a	iəi	微部	
37	2	葛覃	2.3	1	害澣害b[piuə]否	害澣害否	否	b	piuə		
