HANZI	Starostin1989	Karlgren1954	Li1971	Pan2000	Wang1980	Zhengzhang2003	Baxter2014
一	? / ?	e / ʔi ̯e ̆t	i / ʔjit	i / qlig	e / iet	i / qlig	i / ʔ  i[t]
丁	e / tēŋ trēŋ	e / te ̆ŋ	i / triŋ	e / rteeŋ	e / teŋ	e / rteeŋ	e / tˤ  eŋ
七	i / shit	e / ts'i ̯e ̆t	i / tshjit	i / sn̥id	e / tshie	i / snhid	i / [tsʰ]  i[t]
三	ə / sǝ̄m	u / su ̆m	ə / səm	o / soom	ə / siuəm	u / suum	u / s. r  [u]m -s
上	a / daŋʔs daŋʔ	a / ȡi ̯aŋ	a / djaŋx	a / djaŋʔ	a / ʑiaŋ	a / djaŋʔ	a / m- d  aŋʔ
下	a / ghrāʔ	ɔ / g'ɔ	a / gragx	a / graaʔ	a / ɣea	a / graaʔ	a / m- gˤ r aʔ -s
且	a / ćhiaʔ	ɔ / ts'i ̯ɔ	a / tshjiagx	a / skhjaʔ	a / tshya	a / shjaaʔ	a / ts  a
世	? / ?	a / ɕi ̯ad	a / hrjabh	e / qhljebs	a / ɕiap	e / hljebs	a / l̥  ap -s
丘	ə / khʷǝ	u / k'i ̯ug	ə / khwjəg	ɯ / khʷɯ	ə / khiuə	ɯ / khʷɯ	ə / [k]ʷʰ  ə
中	u / truŋ truŋs	ʊ / ti ̯ʊŋ	ə / trjəŋw	u / tuŋ	ə / tiuəm	u / tuŋ	u / t r uŋ
丰	o / phoŋ	u / p'i ̯uŋ	u / phjuŋ	o / phoŋ	o / phioŋ	o / phoŋ	o / pʰ (r) oŋ
丱	a / kʷrāns	a / kwan	a / kruanh	o / kroons	a / koan	o / kroons	? / ?
丸	a / wār	ɑ / g'wɑn	a / guan	o / goon	a / ɣuan	a / gʷaan	a / ɦʷˤ  ar
丹	a / tān	ɑ / tɑn	a / tan	a / taan	a / tan	a / taan	a / tˤ  an
主	o / toʔ	u / ȶi ̯u	u / tjugx	o / tjoʔ	o / tɕio	o / tjoʔ	o / t  oʔ
久	? / ?	ə / ki ̯əg	ə / kjəgx	ɯ / kʷlɯʔ	ə / kiə	ɯ / kʷlɯʔ	ə / [k]ʷ  əʔ
之	ə / tǝ	ə / ȶi ̯əg	ə / tjəg	ɯ / kjɯ	ə / tɕiə	ɯ / tjɯ	ə / t  ə
乎	a / wā	o / g'o	a / gag	a / ɢlaa	a / ɣa	a / ɢaa	a / ɢˤ  a
乘	ə / lǝŋ	ə / ȡʻi ̯əŋ	ə / djəŋ	ɯ / ɢljɯŋ	ə / dʑiəŋ	ɯ / ɦljɯŋ	ə / Cə. l  əŋ -s
乾	a / ghar kār	ɑ / kɑn	a / kan	a / kaan	a / kan	a / kaan	a / [k]ˤ  ar
亂	o / rōns	ɑ / lwɑn	a / luanh	o / [g]roons	a / luan	o / roons	o / [r]ˤ  o[n] -s
予	a / Ła	o / di ̯o	a / rag	a / la	a / ʎia	a / la	a / l  aʔ
事	ə / ʒ́(h)rǝʔs	ə / tʂi ̯əg	ə / tsrjəgh	ɯ / skrɯ	ə / tʃiə	ɯ / ʔsrɯ	ə / [m-s-] r  əʔ -s
云	ə / wǝn	ə / gi ̯wən	ə / gwjən	u / ɢun	ə / ɣiuən	u / ɢun	ə / [ɢ]ʷ  ə[r]
五	a / ŋhāʔ	o / ŋo	a / ŋagx	a / ŋaaʔ	a / ŋa	a / ŋaaʔ	a / C. ŋˤ  aʔ
亞	a / ʔrāks	a / ʔa ̆g	a / ʔragh	a / qraags	a / eak	a / qraags	a / ʔˤ r ak -s
亟	ə / kǝk	ə / k'i ̯əg	ə / khjəgh	ɯ / khɯɡs	ə / khiək	ɯ / khɯɡs	ə / k (r) ək
亡	a / maŋ	a / mi ̯waŋ	a / mjaŋ	a / maŋ	a / miaŋ	a / maŋ	a / m  aŋ
交	a / krāw	o / ko ̆g	a / kragw	e / kreew	o / keô	e / kreew	a / [k]ˤ r aw
亨	? / ?	a / xi ̯aŋ	a / hjaŋx	a / qhaŋʔ	a / xiaŋ	a / qhaŋʔ	a / [p. qʰ]ˤ r aŋ
享	a / haŋʔ	a / xi ̯aŋ	a / hjaŋx	a / qhaŋʔ	a / xiaŋ	a / qhaŋʔ	a / [qʰ]  aŋʔ
京	a / kraŋ	a / ki ̯a ̆ŋ	a / kjiaŋ	a / kraŋ	a / kyaŋ	a / kraŋ	a / [k] r aŋ
亶	? / ?	ɑ / tɑn	a / tanx	a / taanʔ	a / tan	a / taanʔ	a / tˤ  anʔ
亹	ə / m(h)ǝjʔ	ə / mi ̯wər	ə / mjədx	ɯ / mɯlʔ	ə / miəi	ɯ / mɯlʔ	ə / m  ərʔ
人	i / nin	e / ȵi ̯e ̆n	i / njin	i / njiŋ	e / ȵien	i / njin	i / n  i[ŋ]
仁	i / nin	e / ȵi ̯e ̆n	i / njin	i / njiŋ	e / ȵien	i / njin	i / n  iŋ
仇	u / gu	ʊ / g'i ̯ʊg	ə / gjəgw	u / gu	u / giu	u / gu	u / [g] (r) u
今	ə / k(r)ǝm	ə / ki ̯əm	ə / kjiəm	ɯ / krɯm	ə / kiəm	ɯ / krɯm	ə / [k] r [ə]m
介	e / krēts	a / ka ̆d	a / kriadh	e / kreeds	a / keat	e / kreeds	e / kˤ r [e]p -s
仕	ə / ʒ́(h)rǝʔ	ə / dʐʻi ̯əg	ə / dzrjəgx	ɯ / srɯʔ	ə / dʒiə	ɯ / zrɯʔ	ə / [m-s-] r  əʔ
他	a / slāj	ɑ / t'ɑ	a / thar	a / l̥aal	a / thai	a / lhaal	a / l̥ˤ  aj
仡	? / ?	ə / ŋi ̯ət	ə / ŋjət	ɯ / ŋgɯd	ə / ŋiət	ɯ / ŋɯd	ə / [ŋ]  ət
令	i / riŋ	a / li ̯an	a / ljan	e / [m]ren	a / lian	e / ren	i / [r]ˤ  iŋ
以	ə / lǝʔ	ə / di ̯əg	ə / rəgx	ɯ / lɯʔ	ə / ʎiə	ɯ / lɯʔ	ə / l  əʔ
仰	a / ŋaŋʔ	a / ŋi ̯aŋ	a / ŋjaŋx	a / ŋaŋʔ	a / ŋiaŋ	a / ŋaŋʔ	a / C. ŋ  aŋʔ
仲	u / druŋs	ʊ / d'i ̯ʊŋ	ə / drjəŋwh	u / duŋs	ə / diuəm	u / duŋs	u / N- t r uŋ -s
任	ə / nǝm nǝms (~ -im)	u / ȵi ̯u ̆m	ə / njəm	u / njum	ə / ȵiuəm	ɯ / njɯm	ə / n  [ə]m -s
伉	a / khāŋs	ɑ / k'ɑŋ	a / khaŋh	a / khaaŋs	a / khaŋ	a / khaaŋs	? / ?
