NUMBER	GSR	SUBGROUPS	AB	SIZE	CHARACTERS
1	0001	可	-	11	柯何河苛呵訶阿哥奇
1	0001	奇	j	21	騎錡寄掎畸綺踦攲觭倚椅猗輢陭
2	0002	我	-	9	俄娥峨莪誐餓鵞蛾
2	0002	義	j	4	儀議蟻羲
3	0004	也	j	6	匜池馳弛地施
3	0004	它	-	2	陀舵
4	0049	古	?	6	故苦祜胡居
4	0049	胡	-	3	葫餬糊
4	0049	居	j	2	倨鋸
4	0049	固	-	3	錮個涸
5	0094	女	j	6	籹如汝奴要
5	0094	如	j	10	帤洳茹恕絮挐
5	0094	奴	-	14	孥帑弩怒拏砮笯駑呶怓
6	0256	袁	j	5	園猿轅遠
6	0256	睘	-	7	鐶寰懁圜獧
7	0575	隹	j	21	鵻錐騅唯帷惟維蜼椎顀誰堆推陮崔趡睢
7	0575	唯	j	2	雖鷕
7	0575	崔	-	3	催漼摧
8	0720	昜	j	20	陽暘煬揚颺楊瘍畼暢場腸湯餳愓碭禓𥏫
8	0720	湯	-	6	璗盪簜蕩
9	0727	爿	j	7	牄斨戕壯牀狀牂
9	0727	壯	j	3	莊裝
9	0727	將	j	5	奬漿蔣醬鏘
9	0727	臧	-	3	藏贓
10	0740	方	j	20	舫放昉枋瓬邡妨紡芳訪髣仿坊房防魴彷
10	0740	旁	-	5	滂傍蒡
11	0742	亡	-	6	盲甿蝱氓肓衁
11	0742	罔	j	2	網惘
12	0833	丁	-	6	成頂汀町亭
12	0833	正	j	2	証鉦
13	0835	𡈼	-	5	廷呈聽
13	0835	廷	-	13	庭挺梃筳莛霆蜓鋌珽
13	0835	呈	j	6	程裎酲逞桯
14	0868	朿	j	4	茦𧧒𧻕策
14	0868	責	-	3	嘖簀績
15	0918	弋	?	7	㚤杙式忒貣代
15	0918	式	j	4	拭軾侙試
15	0918	代	-	4	貸岱黛袋
16	1041	丂	-	5	考攷巧㱙
16	1041	号	j	2	枵鴞
